ProteinID,Alignments,SpecCounts,Unique,Coverage,Protein description
PMM1138,1,1,1,0.028,| PMM1138 | GTP-dependent nucleic acid-binding protein EngD1110.028| PMM1138 | GTP-dependent nucleic acid-binding protein EngD
PMM1139,7,7,7,0.153,| PMM1139 | membrane fusion protein7770.153| PMM1139 | membrane fusion protein
PMM1140,1,1,1,0.009,| polA | DNA polymerase I1110.009| polA | DNA polymerase I
PMM1142,2,2,2,0.059,| dxr | 1-deoxy-D-xylulose 5-phosphate reductoisomerase2220.059| dxr | 1-deoxy-D-xylulose 5-phosphate reductoisomerase
PMM1145,4,5,4,0.059,| pntB | putative nicotinamide nucleotide transhydrogenase4540.059| pntB | putative nicotinamide nucleotide transhydrogenase
PMM1147,5,6,5,0.101,| pntA-1 | putative nicotinamide nucleotide transhydrogenase5650.101| pntA-1 | putative nicotinamide nucleotide transhydrogenase
PMM1148,2,2,2,0.099,| PMM1148 | EF-1 guanine nucleotide exchange doma2220.099| PMM1148 | EF-1 guanine nucleotide exchange doma
PMM1150,2,2,2,0.044,| PMM1150 | putative thioredoxin reductase2220.044| PMM1150 | putative thioredoxin reductase
PMM1152,10,11,9,0.281,| ycf39 | putative chaperon-like protein for quinone binding in photosystem II101190.281| ycf39 | putative chaperon-like protein for quinone binding in photosystem II
PMM1153,1,1,1,0.021,| PMM1153 | putative alpha/beta hydrolase superfamily protein1110.021| PMM1153 | putative alpha/beta hydrolase superfamily protein
PMM1154,3,3,3,0.126,| ilvH | acetolactate synthase 3 regulatory subunit3330.126| ilvH | acetolactate synthase 3 regulatory subunit
PMM1156,4,6,3,0.141,| PMM1156 | photosystem I assembly protein Ycf44630.141| PMM1156 | photosystem I assembly protein Ycf4
PMM1157,8,10,8,0.14,| psbD | photosystem II PsbD protein (D2)81080.14| psbD | photosystem II PsbD protein (D2)
PMM1158,8,12,7,0.163,| psbC | photosystem II PsbC protein (CP43)81270.163| psbC | photosystem II PsbC protein (CP43)
PMM1160,1,1,1,0.014,| cobB | cobyric acid synthase1110.014| cobB | cobyric acid synthase
PMM1164,1,1,1,0.038,| futA | putative iron ABC transporter1110.038| futA | putative iron ABC transporter
PMM1165,4,5,4,0.166,| glyQ | glycyl-tRNA synthetase subunit alpha4540.166| glyQ | glycyl-tRNA synthetase subunit alpha
PMM1166,2,2,2,0.147,| PMM1166 | hypothetical protein2220.147| PMM1166 | hypothetical protein
PMM1169,1,1,1,0.123,| PMM1169 | hypothetical protein1110.123| PMM1169 | hypothetical protein
PMM1170,3,3,3,0.12,| PMM1170 | hypothetical protein3330.12| PMM1170 | hypothetical protein
PMM1171,9,13,9,0.31,| isiB | flavodoxin FldA91390.31| isiB | flavodoxin FldA
PMM1174,1,1,1,0.081,| PMM1174 | hypothetical protein1110.081| PMM1174 | hypothetical protein
PMM1177,1,1,1,0.017,| PMM1177 | hypothetical protein1110.017| PMM1177 | hypothetical protein
PMM1179,1,1,1,0.022,| PMM1179 | SMR family transporter PecM1110.022| PMM1179 | SMR family transporter PecM
PMM1180,5,7,5,0.156,| sppA | signal peptide peptidase SppA (protease IV)5750.156| sppA | signal peptide peptidase SppA (protease IV)
PMM1181,1,1,1,0.087,| tyrA | chorismate mutase1110.087| tyrA | chorismate mutase
PMM1182,3,3,3,0.094,| PMM1182 | hypothetical protein3330.094| PMM1182 | hypothetical protein
PMM1185,2,3,2,0.197,| PMM1185 | hypothetical protein2320.197| PMM1185 | hypothetical protein
PMM1186,4,5,4,0.092,| PMM1186 | putative inner membrane protein translocase component YidC4540.092| PMM1186 | putative inner membrane protein translocase component YidC
PMM1187,2,2,2,0.033,| PMM1187 | hypothetical protein2220.033| PMM1187 | hypothetical protein
PMM1189,2,2,2,0.072,| PMM1189 | hypothetical protein2220.072| PMM1189 | hypothetical protein
PMM1190,2,2,2,0.1,| rpsN | 30S ribosomal protein S142220.1| rpsN | 30S ribosomal protein S14
PMM1191,12,13,12,0.155,| pnp | polynucleotide phosphorylase/polyadenylase1213120.155| pnp | polynucleotide phosphorylase/polyadenylase
PMM1192,1,1,1,0.029,| PMM1192 | 3'-phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase1110.029| PMM1192 | 3'-phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase
PMM1193,3,3,3,0.098,| PMM1193 | putative tetrapyrrole methylase family protein3330.098| PMM1193 | putative tetrapyrrole methylase family protein
PMM1196,11,14,11,0.194,| manC | GDP-mannose pyrophosphorylase1114110.194| manC | GDP-mannose pyrophosphorylase
PMM1197,2,2,2,0.051,| PMM1197 | hypothetical protein2220.051| PMM1197 | hypothetical protein
PMM1200,5,5,5,0.11,| PMM1200 | glycosyl transferase family protein5550.11| PMM1200 | glycosyl transferase family protein
PMM1201,3,3,3,0.08,| PMM1201 | putative CDP-tyvelose-2-epimerase (RfbE)3330.08| PMM1201 | putative CDP-tyvelose-2-epimerase (RfbE)
PMM1202,1,1,1,0.035,| PMM1202 | nucleoside-diphosphate-sugar epimerase1110.035| PMM1202 | nucleoside-diphosphate-sugar epimerase
PMM1203,4,4,4,0.075,| rfbG | CDP-glucose 44440.075| rfbG | CDP-glucose 4
PMM1204,3,3,3,0.098,| ddhA | glucose-1-phosphate cytidylyltransferase3330.098| ddhA | glucose-1-phosphate cytidylyltransferase
PMM1205,4,4,4,0.09,| PMM1205 | NDP-hexose 34440.09| PMM1205 | NDP-hexose 3
PMM1206,2,3,2,0.035,| PMM1206 | hypothetical protein2320.035| PMM1206 | hypothetical protein
PMM1209,3,3,3,0.088,| galE | UDP-glucose-4-epimerase3330.088| galE | UDP-glucose-4-epimerase
PMM1210,2,2,2,0.062,| PMM1210 | putative nucleotide sugar epimerase2220.062| PMM1210 | putative nucleotide sugar epimerase
PMM1213,1,1,1,0.023,| PMM1213 | glycosyl transferase group 11110.023| PMM1213 | glycosyl transferase group 1
PMM1215,5,5,5,0.091,| PMM1215 | hypothetical protein5550.091| PMM1215 | hypothetical protein
PMM1216,2,2,2,0.075,| PMM1216 | putative sugar-phosphate nucleotidyl transferase2220.075| PMM1216 | putative sugar-phosphate nucleotidyl transferase
PMM1217,3,3,3,0.167,| PMM1217 | putative phosphoheptose isomerase3330.167| PMM1217 | putative phosphoheptose isomerase
PMM1218,1,1,1,0.016,| rfaE | putative ADP-heptose synthase1110.016| rfaE | putative ADP-heptose synthase
PMM1219,1,3,1,0.025,| PMM1219 | putative nucleoside-diphosphate sugar epimerase1310.025| PMM1219 | putative nucleoside-diphosphate sugar epimerase
PMM1220,1,1,1,0.022,| PMM1220 | putative glycosyl transferase1110.022| PMM1220 | putative glycosyl transferase
PMM1221,2,2,2,0.046,| PMM1221 | glycosyl transferase2220.046| PMM1221 | glycosyl transferase
PMM1222,2,2,2,0.067,| PMM1222 | glycosyl transferase2220.067| PMM1222 | glycosyl transferase
PMM1224,5,5,5,0.123,| gumB | putative polysaccharide export protein5550.123| gumB | putative polysaccharide export protein
PMM1225,7,7,7,0.121,| PMM1225 | hypothetical protein7770.121| PMM1225 | hypothetical protein
PMM1227,1,1,1,0.031,| PMM1227 | putative UDP-N-acetylglucosamine-1-phosphate transferase1110.031| PMM1227 | putative UDP-N-acetylglucosamine-1-phosphate transferase
PMM1228,4,5,4,0.067,| PMM1228 | hypothetical protein4540.067| PMM1228 | hypothetical protein
PMM1229,3,3,3,0.117,| PMM1229 | dehydrogenase3330.117| PMM1229 | dehydrogenase
PMM1230,2,2,2,0.052,| PMM1230 | dehydrogenase E1 component beta subunit2220.052| PMM1230 | dehydrogenase E1 component beta subunit
PMM1231,3,3,3,0.093,| PMM1231 | hypothetical protein3330.093| PMM1231 | hypothetical protein
PMM1232,6,6,6,0.146,| PMM1232 | methyltransferase6660.146| PMM1232 | methyltransferase
PMM1233,2,2,2,0.072,| rfbD | putative dTDP-4-dehydrorhamnose reductase2220.072| rfbD | putative dTDP-4-dehydrorhamnose reductase
PMM1234,2,3,2,0.061,| PMM1234 | zinc-containing alcohol dehydrogenase superfamily protein2320.061| PMM1234 | zinc-containing alcohol dehydrogenase superfamily protein
PMM1235,5,5,5,0.159,| PMM1235 | hypothetical protein5550.159| PMM1235 | hypothetical protein
PMM1236,1,1,1,0.039,| PMM1236 | hypothetical protein1110.039| PMM1236 | hypothetical protein
PMM1237,7,10,7,0.351,| PMM1237 | hypothetical protein71070.351| PMM1237 | hypothetical protein
PMM1239,6,6,6,0.099,| hetA | ABC transporter6660.099| hetA | ABC transporter
PMM1240,1,1,1,0.036,| PMM1240 | methyltransferase1110.036| PMM1240 | methyltransferase
PMM1241,1,1,1,0.035,| PMM1241 | hypothetical protein1110.035| PMM1241 | hypothetical protein
PMM1243,8,8,8,0.274,| PMM1243 | methyltransferase8880.274| PMM1243 | methyltransferase
PMM1244,1,2,1,0.115,| PMM1244 | hypothetical protein1210.115| PMM1244 | hypothetical protein
PMM1246,8,8,8,0.12,| PMM1246 | carbamoyltransferase8880.12| PMM1246 | carbamoyltransferase
PMM1247,13,17,13,0.244,| PMM1247 | hypothetical protein1317130.244| PMM1247 | hypothetical protein
PMM1249,1,1,1,0.035,| PMM1249 | hypothetical protein1110.035| PMM1249 | hypothetical protein
PMM1251,3,3,3,0.041,| PMM1251 | carbamoyltransferase3330.041| PMM1251 | carbamoyltransferase
PMM1254,1,1,1,0.022,| PMM1254 | glycosyl transferase family protein1110.022| PMM1254 | glycosyl transferase family protein
PMM1257,2,2,2,0.03,| PMM1257 | dTDP-glucose 42220.03| PMM1257 | dTDP-glucose 4
PMM1258,3,3,3,0.076,| PMM1258 | pyridoxal-phosphate-dependent aminotransferase3330.076| PMM1258 | pyridoxal-phosphate-dependent aminotransferase
PMM1259,4,4,4,0.126,| PMM1259 | pyridoxal-phosphate-dependent aminotransferase4440.126| PMM1259 | pyridoxal-phosphate-dependent aminotransferase
PMM1260,4,4,4,0.125,| PMM1260 | nucleoside-diphosphate-sugar epimerase4440.125| PMM1260 | nucleoside-diphosphate-sugar epimerase
PMM1261,6,7,6,0.103,| ugd | UDP-glucose 6-dehydrogenase6760.103| ugd | UDP-glucose 6-dehydrogenase
PMM1263,1,2,1,0.026,| PMM1263 | ornithine carbamoyltransferase1210.026| PMM1263 | ornithine carbamoyltransferase
PMM1264,12,16,12,0.203,| ftsH3 | cell division protein FtsH31216120.203| ftsH3 | cell division protein FtsH3
PMM1265,3,3,3,0.061,| ribD | putative diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino)uracil reductase3330.061| ribD | putative diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino)uracil reductase
PMM1266,4,5,4,0.229,| PMM1266 | hypothetical protein4540.229| PMM1266 | hypothetical protein
PMM1269,2,2,2,0.056,| ppnK | inorganic polyphosphate/ATP-NAD kinase2220.056| ppnK | inorganic polyphosphate/ATP-NAD kinase
PMM1270,4,4,3,0.125,| pheS | phenylalanyl-tRNA synthetase alpha chain4430.125| pheS | phenylalanyl-tRNA synthetase alpha chain
PMM1271,2,2,1,0.059,| surE | stationary phase survival protein SurE2210.059| surE | stationary phase survival protein SurE
PMM1273,1,1,1,0.026,| ribF | putative riboflavin kinase/FAD synthase1110.026| ribF | putative riboflavin kinase/FAD synthase
PMM1274,5,5,5,0.14,| thiE | thiamine-phosphate pyrophosphorylase5550.14| thiE | thiamine-phosphate pyrophosphorylase
PMM1280,4,5,4,0.091,| PMM1280 | putative bifuntional enzyme: tRNA methyltransferase; 2-C-methyl-D-erythritol 24540.091| PMM1280 | putative bifuntional enzyme: tRNA methyltransferase; 2-C-methyl-D-erythritol 2
PMM1281,2,2,2,0.069,| era | GTP-binding protein Era2220.069| era | GTP-binding protein Era
PMM1283,1,2,1,0.045,| PMM1283 | integral membrane protein1210.045| PMM1283 | integral membrane protein
PMM1285,1,2,1,0.061,| rpsP | 30S ribosomal protein S161210.061| rpsP | 30S ribosomal protein S16
PMM1286,7,7,7,0.143,| ffh | signal recognition particle protein (SRP54)7770.143| ffh | signal recognition particle protein (SRP54)
PMM1287,12,15,12,0.189,| PMM1287 | hypothetical protein1215120.189| PMM1287 | hypothetical protein
PMM1288,8,8,8,0.206,| pdhA | pyruvate dehydrogenase E1 alpha subunit8880.206| pdhA | pyruvate dehydrogenase E1 alpha subunit
PMM1290,2,2,2,0.038,| PMM1290 | hypothetical protein2220.038| PMM1290 | hypothetical protein
PMM1292,1,1,1,0.02,| PMM1292 | putative apolipoprotein n-acyltransferase1110.02| PMM1292 | putative apolipoprotein n-acyltransferase
PMM1293,1,1,1,0.068,| PMM1293 | FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)1110.068| PMM1293 | FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)
PMM1294,7,9,7,0.237,| PMM1294 | putative nickel-containing superoxide dismutase precursor (NISOD)7970.237| PMM1294 | putative nickel-containing superoxide dismutase precursor (NISOD)
PMM1297,5,5,5,0.159,| trpC | indole-3-glycerol-phosphate synthase5550.159| trpC | indole-3-glycerol-phosphate synthase
PMM1298,7,7,7,0.154,| lpdA | dihydrolipoamide dehydrogenase7770.154| lpdA | dihydrolipoamide dehydrogenase
PMM1299,1,1,1,0.049,| spoU | tRNA/rRNA methyltransferase (SpoU)1110.049| spoU | tRNA/rRNA methyltransferase (SpoU)
PMM1301,6,7,5,0.077,| argD | acetylornithine aminotransferase6750.077| argD | acetylornithine aminotransferase
PMM1303,5,5,5,0.102,| PMM1303 | FAD/FMN-containing dehydrogenase5550.102| PMM1303 | FAD/FMN-containing dehydrogenase
PMM1304,1,1,1,0.029,| codA | putative cytosine deaminase1110.029| codA | putative cytosine deaminase
PMM1305,1,1,0,0.015,| PMM1305 | 2-methylthioadenine synthetase1100.015| PMM1305 | 2-methylthioadenine synthetase
PMM1307,1,1,1,0.074,| PMM1307 | hypothetical protein1110.074| PMM1307 | hypothetical protein
PMM1309,10,11,10,0.275,| ftsZ | cell division protein FtsZ1011100.275| ftsZ | cell division protein FtsZ
PMM1310,1,1,1,0.035,| panB | 3-methyl-2-oxobutanoate hydroxymethyltransferase1110.035| panB | 3-methyl-2-oxobutanoate hydroxymethyltransferase
PMM1312,1,1,1,0.03,| PMM1312 | PIN domain superfamily protein1110.03| PMM1312 | PIN domain superfamily protein
PMM1313,2,2,2,0.077,| clpP4 | ATP-dependent Clp protease-like protein2220.077| clpP4 | ATP-dependent Clp protease-like protein
PMM1314,2,3,2,0.085,| clpP | ATP-dependent Clp protease proteolytic subunit2320.085| clpP | ATP-dependent Clp protease proteolytic subunit
PMM1315,11,15,11,0.304,| ilvC | ketol-acid reductoisomerase1115110.304| ilvC | ketol-acid reductoisomerase
PMM1319,2,2,2,0.198,| PMM1319 | beta-lactamase2220.198| PMM1319 | beta-lactamase
PMM1321,15,25,15,0.505,| PMM1321 | histone-like DNA-binding protein1525150.505| PMM1321 | histone-like DNA-binding protein
PMM1322,1,1,1,0.012,| glgX | putative isoamylase1110.012| glgX | putative isoamylase
PMM1324,1,2,1,0.044,| PMM1324 | putative transporter1210.044| PMM1324 | putative transporter
PMM1326,1,1,1,0.027,| PMM1326 | hypothetical protein1110.027| PMM1326 | hypothetical protein
PMM1328,2,3,2,0.067,| pyrF | orotidine 5'-phosphate decarboxylase2320.067| pyrF | orotidine 5'-phosphate decarboxylase
PMM1329,5,5,5,0.1,| tyrS | tyrosyl-tRNA synthetase5550.1| tyrS | tyrosyl-tRNA synthetase
PMM1330,8,8,8,0.383,| PMM1330 | hypothetical protein8880.383| PMM1330 | hypothetical protein
PMM1332,7,7,7,0.145,| PMM1332 | leucyl aminopeptidase7770.145| PMM1332 | leucyl aminopeptidase
PMM1333,1,1,1,0.04,| PMM1333 | peptide methionine sulfoxide reductase1110.04| PMM1333 | peptide methionine sulfoxide reductase
PMM1334,1,1,1,0.028,| lpxB | lipid-A-disaccharide synthase1110.028| lpxB | lipid-A-disaccharide synthase
PMM1335,1,1,1,0.039,| lpxA | UDP-N-acetylglucosamine acyltransferase1110.039| lpxA | UDP-N-acetylglucosamine acyltransferase
PMM1336,1,1,1,0.053,| fabZ | (3R)-hydroxymyristoyl-ACP dehydratase1110.053| fabZ | (3R)-hydroxymyristoyl-ACP dehydratase
PMM1337,3,3,3,0.129,| lpxC | UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase3330.129| lpxC | UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
PMM1338,11,13,11,0.165,| PMM1338 | chloroplast outer envelope membrane protein1113110.165| PMM1338 | chloroplast outer envelope membrane protein
PMM1339,7,9,7,0.277,| purC | phosphoribosylaminoimidazole-succinocarboxamide synthase7970.277| purC | phosphoribosylaminoimidazole-succinocarboxamide synthase
PMM1340,4,4,4,0.09,| purD | phosphoribosylglycinamide synthetase4440.09| purD | phosphoribosylglycinamide synthetase
PMM1341,2,2,2,0.025,| nblS | two-component sensor histidine kinase2220.025| nblS | two-component sensor histidine kinase
PMM1342,3,3,3,0.057,| kaiC | circadian clock protein KaiC3330.057| kaiC | circadian clock protein KaiC
PMM1343,2,2,2,0.15,| kaiB | circadian clock protein KaiB2220.15| kaiB | circadian clock protein KaiB
PMM1344,4,4,4,0.178,| rplU | 50S ribosomal protein L214440.178| rplU | 50S ribosomal protein L21
PMM1345,3,3,3,0.221,| rpmA | 50S ribosomal protein L273330.221| rpmA | 50S ribosomal protein L27
PMM1346,1,1,1,0.027,| PMM1346 | hypothetical protein1110.027| PMM1346 | hypothetical protein
PMM1347,2,2,2,0.056,| truB | putative tRNA pseudouridine 55 synthase2220.056| truB | putative tRNA pseudouridine 55 synthase
PMM1349,3,3,3,0.096,| PMM1349 | hypothetical protein3330.096| PMM1349 | hypothetical protein
PMM1350,6,8,6,0.359,| PMM1350 | pentapeptide repeat-containing protein6860.359| PMM1350 | pentapeptide repeat-containing protein
PMM1354,5,5,5,0.104,| serA | D-3-phosphoglycerate dehydrogenase5550.104| serA | D-3-phosphoglycerate dehydrogenase
PMM1355,3,3,3,0.16,| PMM1355 | hypothetical protein3330.16| PMM1355 | hypothetical protein
PMM1356,2,2,2,0.076,| PMM1356 | hypothetical protein2220.076| PMM1356 | hypothetical protein
PMM1359,1,1,1,0.043,| PMM1359 | hypothetical protein1110.043| PMM1359 | hypothetical protein
PMM1361,3,3,3,0.094,| PMM1361 | short-chain dehydrogenase/reductase3330.094| PMM1361 | short-chain dehydrogenase/reductase
PMM1362,2,2,2,0.216,| PMM1362 | hypothetical protein2220.216| PMM1362 | hypothetical protein
PMM1364,2,2,2,0.036,| murD | UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase2220.036| murD | UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
PMM1366,3,3,3,0.123,| PMM1366 | hypothetical protein3330.123| PMM1366 | hypothetical protein
PMM1368,1,1,1,0.05,| PMM1368 | hypothetical protein1110.05| PMM1368 | hypothetical protein
PMM1369,4,4,4,0.16,| PMM1369 | GAF domain-containing protein4440.16| PMM1369 | GAF domain-containing protein
PMM1370,1,1,1,0.017,| PMM1370 | hypothetical protein1110.017| PMM1370 | hypothetical protein
PMM1372,2,2,2,0.25,| PMM1372 | hypothetical protein2220.25| PMM1372 | hypothetical protein
PMM1379,1,1,1,0.051,| PMM1379 | putative dape gene and orf21110.051| PMM1379 | putative dape gene and orf2
PMM1380,3,3,3,0.151,| PMM1380 | hypothetical protein3330.151| PMM1380 | hypothetical protein
PMM1389,2,2,2,0.086,| PMM1389 | trypsin2220.086| PMM1389 | trypsin
PMM1391,5,6,5,0.5,| PMM1391 | CopG family protein5650.5| PMM1391 | CopG family protein
PMM1393,1,1,1,0.044,| PMM1393 | carbon storage regulator1110.044| PMM1393 | carbon storage regulator
PMM1400,2,3,2,0.093,| PMM1400 | hemagglutinin-neuraminidase2320.093| PMM1400 | hemagglutinin-neuraminidase
PMM1401,4,5,4,0.269,| PMM1401 | hypothetical protein4540.269| PMM1401 | hypothetical protein
PMM1407,1,1,1,0.105,| PMM1407 | SRP19 protein1110.105| PMM1407 | SRP19 protein
PMM1409,2,2,2,0.17,| PMM1409 | rubredoxin2220.17| PMM1409 | rubredoxin
PMM1410,1,1,0,0.053,| PMM1410 | PTS system1100.053| PMM1410 | PTS system
PMM1412,1,1,1,0.077,| PMM1412 | hypothetical protein1110.077| PMM1412 | hypothetical protein
PMM1413,3,3,3,0.255,| PMM1413 | hypothetical protein3330.255| PMM1413 | hypothetical protein
PMM1416,4,4,4,0.056,| PMM1416 | hypothetical protein4440.056| PMM1416 | hypothetical protein
PMM1419,5,7,5,0.299,| PMM1419 | ATP synthase B/B' CF(0)5750.299| PMM1419 | ATP synthase B/B' CF(0)
PMM1425,2,2,2,0.02,| PMM1425 | serine protease2220.02| PMM1425 | serine protease
PMM1428,2,3,2,0.131,| PMM1428 | hypothetical protein2320.131| PMM1428 | hypothetical protein
PMM1433,7,7,7,0.411,| PMM1433 | bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase7770.411| PMM1433 | bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase
PMM1434,4,4,4,0.063,| pgmI | phosphoglyceromutase4440.063| pgmI | phosphoglyceromutase
PMM1436,79,157,77,0.581,| groEL | chaperonin GroEL79157770.581| groEL | chaperonin GroEL
PMM1437,27,68,27,0.602,| groES | co-chaperonin GroES2768270.602| groES | co-chaperonin GroES
PMM1438,6,9,6,0.15,| atpB | F0F1 ATP synthase subunit beta6960.15| atpB | F0F1 ATP synthase subunit beta
PMM1440,1,1,1,0.082,| PMM1440 | hypothetical protein1110.082| PMM1440 | hypothetical protein
PMM1441,2,2,2,0.346,| PMM1441 | hypothetical protein2220.346| PMM1441 | hypothetical protein
PMM1442,4,5,4,0.084,| pepP | putative aminopeptidase P4540.084| pepP | putative aminopeptidase P
PMM1443,3,3,3,0.092,| PMM1443 | hypothetical protein3330.092| PMM1443 | hypothetical protein
PMM1444,1,1,1,0.015,| PMM1444 | hypothetical protein1110.015| PMM1444 | hypothetical protein
PMM1447,3,3,3,0.085,| PMM1447 | hypothetical protein3330.085| PMM1447 | hypothetical protein
PMM1450,4,4,4,0.127,| atpC | F0F1 ATP synthase subunit gamma4440.127| atpC | F0F1 ATP synthase subunit gamma
PMM1451,5,6,5,0.109,| atpA | F0F1 ATP synthase subunit alpha5650.109| atpA | F0F1 ATP synthase subunit alpha
PMM1452,6,8,6,0.339,| atpH6860.339| atpH
PMM1453,3,3,3,0.147,| atpF | F0F1 ATP synthase subunit B3330.147| atpF | F0F1 ATP synthase subunit B
PMM1454,4,4,4,0.314,| atpG | F0F1 ATP synthase subunit B'4440.314| atpG | F0F1 ATP synthase subunit B'
PMM1460,1,1,1,0.026,| ycf44 | putative c-type cytochrome biogenesis protein Ccs11110.026| ycf44 | putative c-type cytochrome biogenesis protein Ccs1
PMM1461,4,4,4,0.331,| PMM1461 | 7-cyano-7-deazaguanine reductase4440.331| PMM1461 | 7-cyano-7-deazaguanine reductase
PMM1463,5,6,5,0.464,| glnB | nitrogen regulatory protein P-II5650.464| glnB | nitrogen regulatory protein P-II
PMM1464,1,1,1,0.026,| PMM1464 | rRNA methyltransferase1110.026| PMM1464 | rRNA methyltransferase
PMM1465,9,9,8,0.148,| purB | adenylosuccinate lyase9980.148| purB | adenylosuccinate lyase
PMM1466,5,5,4,0.076,| fumC | fumarate hydratase5540.076| fumC | fumarate hydratase
PMM1467,2,2,2,0.023,| PMM1467 | putative DNA helicase2220.023| PMM1467 | putative DNA helicase
PMM1468,1,1,1,0.024,| bioF | putative 8-amino-7-oxononanoate synthase1110.024| bioF | putative 8-amino-7-oxononanoate synthase
PMM1470,1,2,1,0.032,| PMM1470 | hypothetical protein1210.032| PMM1470 | hypothetical protein
PMM1471,5,5,4,0.164,| BioD | putative dethiobiotin synthase5540.164| BioD | putative dethiobiotin synthase
PMM1472,2,2,2,0.046,| BioA | putative diaminopelargonic acid synthase2220.046| BioA | putative diaminopelargonic acid synthase
PMM1478,1,1,1,0.054,| PMM1478 | hypothetical protein1110.054| PMM1478 | hypothetical protein
PMM1480,2,2,2,0.062,| PMM1480 | hypothetical protein2220.062| PMM1480 | hypothetical protein
PMM1483,21,22,21,0.149,| rpoC2 | DNA-directed RNA polymerase subunit beta'2122210.149| rpoC2 | DNA-directed RNA polymerase subunit beta'
PMM1484,11,14,11,0.169,| rpoC1 | DNA-directed RNA polymerase subunit gamma1114110.169| rpoC1 | DNA-directed RNA polymerase subunit gamma
PMM1485,18,20,18,0.182,| rpoB | DNA-directed RNA polymerase subunit beta1820180.182| rpoB | DNA-directed RNA polymerase subunit beta
PMM1486,3,3,3,0.136,| PMM1486 | TatD family deoxyribonuclease3330.136| PMM1486 | TatD family deoxyribonuclease
PMM1488,1,1,1,0.021,| hisD | histidinol dehydrogenase1110.021| hisD | histidinol dehydrogenase
PMM1489,1,1,1,0.039,| rpiA | ribose-5-phosphate isomerase A1110.039| rpiA | ribose-5-phosphate isomerase A
PMM1490,2,2,2,0.045,| PMM1490 | trypsin-like serine protease2220.045| PMM1490 | trypsin-like serine protease
PMM1491,2,2,2,0.103,| PMM1491 | hypothetical protein2220.103| PMM1491 | hypothetical protein
PMM1492,3,4,3,0.079,| nusA | transcription elongation factor NusA3430.079| nusA | transcription elongation factor NusA
PMM1494,16,17,15,0.143,| infB | translation initiation factor IF-21617150.143| infB | translation initiation factor IF-2
PMM1498,2,2,2,0.033,| PMM1498 | Fe-S oxidoreductase2220.033| PMM1498 | Fe-S oxidoreductase
PMM1500,6,6,6,0.147,| PMM1500 | L6660.147| PMM1500 | L
PMM1501,1,1,1,0.015,| PMM1501 | ribonuclease E/G1110.015| PMM1501 | ribonuclease E/G
PMM1503,4,4,4,0.227,| PMM1503 | hypothetical protein4440.227| PMM1503 | hypothetical protein
PMM1507,4,5,4,0.274,| rpsJ | 30S ribosomal protein S104540.274| rpsJ | 30S ribosomal protein S10
PMM1508,10,17,10,0.183,| tuf | elongation factor Tu1017100.183| tuf | elongation factor Tu
PMM1509,6,6,6,0.087,| fusA | elongation factor G6660.087| fusA | elongation factor G
PMM1510,6,7,6,0.224,| rps7 | 30S ribosomal protein S76760.224| rps7 | 30S ribosomal protein S7
PMM1512,11,12,11,0.07,| glsF | ferredoxin-dependent glutamate synthase1112110.07| glsF | ferredoxin-dependent glutamate synthase
PMM1514,1,1,1,0.04,| lipA | lipoyl synthase1110.04| lipA | lipoyl synthase
PMM1517,1,1,1,0.037,| PMM1517 | hypothetical protein1110.037| PMM1517 | hypothetical protein
PMM1518,1,1,1,0.032,| PMM1518 | hypothetical protein1110.032| PMM1518 | hypothetical protein
PMM1519,3,6,3,0.141,| psaL | photosystem I reaction center protein subunit XI3630.141| psaL | photosystem I reaction center protein subunit XI
PMM1522,2,2,1,0.044,| PMM1522 | glycosyl transferase family protein2210.044| PMM1522 | glycosyl transferase family protein
PMM1523,8,8,7,0.078,| psaB | photosystem I P700 chlorophyll a apoprotein A28870.078| psaB | photosystem I P700 chlorophyll a apoprotein A2
PMM1524,8,10,7,0.103,| psaA | photosystem I P700 chlorophyll a apoprotein A181070.103| psaA | photosystem I P700 chlorophyll a apoprotein A1
PMM1525,2,2,2,0.031,| PMM1525 | bifunctional cbiH protein and precorrin-3B C17-methyltransferase2220.031| PMM1525 | bifunctional cbiH protein and precorrin-3B C17-methyltransferase
PMM1526,1,1,1,0.034,| hisB | putative imidazoleglycerol-phosphate dehydratase1110.034| hisB | putative imidazoleglycerol-phosphate dehydratase
PMM1528,1,1,1,0.071,| PMM1528 | HNH endonuclease family protein1110.071| PMM1528 | HNH endonuclease family protein
PMM1529,2,2,2,0.041,| prfA | peptide chain release factor 12220.041| prfA | peptide chain release factor 1
